code,college,school,areas_of_interest,next_offering,assessment_types,assessment_weights,max_assessment_weight,max_assessment_type,max_assessment_name,blurb,summary_link,selt_link
ASIA2001,College of Asia and the Pacific,School of Culture History and Language,"Asian Languages, Non Language Asian Studies, Pacific Studies, Asia Pacific Studies, Language Studies",Feb 2026,"['test/quiz/midsem', 'participation', 'other', 'essay/report', 'exam']","{'Online quizzes': 5.0, 'Class participation': 10.0, 'Case Study': 20.0, 'Essay': 35.0, 'Exam': 30.0}",35.0,essay/report,Essay,To enrol in this course you must have successfully completed at least 24 units of university courses. This course is incompatible with ASIA2103 and ASIA8051.,https://programsandcourses.anu.edu.au/course/ASIA2001/First%20Semester/4164,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ASIA2001_Time_Series_LRN.pdf
ASIA2103,College of Asia and the Pacific,School of Culture History and Language,"Asian Languages, Non Language Asian Studies, Pacific Studies, Asian Studies, Asia Pacific Studies",Feb 2026,"['test/quiz/midsem', 'participation', 'other', 'essay/report', 'exam']","{'Online quizzes': 5.0, 'Class participation': 10.0, 'Case Study': 20.0, 'Essay': 35.0, 'Exam': 30.0}",35.0,essay/report,Essay,Incompatible with ASIA2001 and ASIA8051.,https://programsandcourses.anu.edu.au/course/ASIA2103/First%20Semester/3033,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ASIA2103_Time_Series_LRN.pdf
LING1001,College of Arts and Social Sciences,"School of Literature, Languages and Linguistics",Linguistics and Applied Linguistics,Feb 2026,"['test/quiz/midsem', 'other', 'exam']","{'Weekly online quiz': 15.0, 'Weekly analysis task': 35.0, 'Final examination': 50.0}",50.0,exam,Final examination,"You are not able to enrol in this course if you have previously completed LING2001, LING6001 or LING8004 without the permission of the course convenor.",https://programsandcourses.anu.edu.au/course/LING1001/First%20Semester/2013,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING1001_Time_Series_LRN.pdf
LING6029,College of Arts and Social Sciences,"School of Literature, Languages and Linguistics","Asian Languages, European Languages, Linguistics and Applied Linguistics, Policy Studies, Latin American Languages",Jul 2025,"['test/quiz/midsem', 'other', 'exam']","{'Weekly online quiz': 15.0, 'Weekly analysis task': 35.0, 'Final examination': 50.0}",,,,You are not able to enrol in this course if you have previously completed LING2029.,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING6029_Time_Series_LRN.pdf
LING2029,College of Arts and Social Sciences,"School of Literature, Languages and Linguistics","Linguistics and Applied Linguistics, Policy Studies, Social Research",Jul 2025,"['test/quiz/midsem', 'other', 'exam']","{'Weekly online quiz': 15.0, 'Weekly analysis task': 35.0, 'Final examination': 50.0}",,,,"To enrol in this course, you must have completed 12 units of Linguistics (LING) courses, OR you must gain the permission of the convener. You are not able to enrol in this course if you have previously completed LING6029.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING2029_Time_Series_LRN.pdf
LING2015,College of Arts and Social Sciences,"School of Literature, Languages and Linguistics","Anthropology, International Relations, Linguistics and Applied Linguistics, Science Communication, Language Studies",Jul 2025,"['participation', 'other', 'essay/report', 'other', 'essay/report']","{'Tutorial attendance (10%)': 10.0, 'Mini case study (750 words) (25%)': 25.0, 'Reports on translatability (1000 words) (25%)': 25.0, 'Minimal English exercise  (10%)': 10.0, 'Essay (1500 words) (30%)': 30.0}",30.0,essay/report,Essay (1500 words) (30%),To enrol in this course you must have completed LING1001 or ANTH1002 or ANTH1003 or have permission of the convenor.,https://programsandcourses.anu.edu.au/2023/course/LING2015/Second%20Semester/5348,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING2015_Time_Series_LRN.pdf
LING6015,College of Arts and Social Sciences,"School of Literature, Languages and Linguistics","Anthropology, Asian Languages, European Languages, Linguistics and Applied Linguistics, International Affairs",Jul 2025,"['other', 'other', 'essay/report', 'other', 'essay/report']","{'Tutorial tasks': 10.0, 'Mini case study (750 words)': 25.0, 'Report on translatability': 25.0, 'Minimal English exercise': 10.0, 'Essay (2500 words)': 30.0}",30.0,essay/report,Essay (2500 words),You are not able to enrol in this course if you have previously completed LANG2015.,https://programsandcourses.anu.edu.au/2023/course/LING6015/Second%20Semester/7238,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING6015_Time_Series_LRN.pdf
LING2018,College of Arts and Social Sciences,"School of Literature, Languages and Linguistics",Linguistics and Applied Linguistics,,"['other', 'essay/report', 'exam', 'participation']","{'Assessment task': 20.0, 'Written essay': 35.0, 'Take-home exam': 35.0, 'Tutorial preparation and participation': 10.0}",35.0,essay/report,Written essay,"To enrol in this course you must have completed LING1001, or with permission of the convenor. You are not able to enrol in this course if you have previously completed LING6018",https://programsandcourses.anu.edu.au/2024/course/LING2018/Second%20Semester/7661,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING2018_Time_Series_LRN.pdf
LING6018,College of Arts and Social Sciences,"School of Literature, Languages and Linguistics",Linguistics and Applied Linguistics,,"['other', 'essay/report', 'essay/report', 'participation']","{'Assessment task': 20.0, 'Essay': 35.0, 'Theoretical report': 35.0, 'Tutorial preparation and participation': 10.0}",35.0,essay/report,Essay,To enrol in this course you must have completed LING6001or LING8004 or with permission of the convener. You are not able to enrol in this course if you have previously completed LING2018.,https://programsandcourses.anu.edu.au/2024/course/LING6018/Second%20Semester/7663,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING6018_Time_Series_LRN.pdf
LAWS6700,"College of Law, Governance and Policy",Law School,Law,Jul 2025,"['other', 'essay/report', 'oral/presentation', 'other', 'reflection']","{'Project Outline': 0.0, 'Project Progress Report': 0.0, 'Project Oral Presentation': 10.0, 'Main Project Output': 70.0, 'Reflection': 20.0}",70.0,other,Main Project Output,"To enrol in this course you must be studying a: 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses and have completed 120 units towards the program.",https://programsandcourses.anu.edu.au/course/LAWS6700/First%20Semester/3744,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS6700_Time_Series_LRN.pdf
LAWS4430,"College of Law, Governance and Policy",Law School,Law,Jul 2025,"['other', 'other', 'other']","{'Draft Research Project Outline': 0.0, 'Research Project': 50.0, 'Two Reflective Blogs': 50.0}",50.0,other,Research Project,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS4230 Law Internship; or ANIP3003 Australian National Internships Program Internship A unless it is credited to a non-law degree; or ANIP3005 Australian National Internships Program B unless it is credited to a non-law degree. 
 Students can only complete one Law Internship during their degree. Students must apply to undertake this course. Please go to Law Internships page for application information.",https://programsandcourses.anu.edu.au/course/LAWS4430/Second%20Semester/8719,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4430_Time_Series_LRN.pdf
LAWS8430,"College of Law, Governance and Policy",Law School,Law,Jul 2025,"['other', 'other', 'other']","{'Draft Research Project Outline': 0.0, 'Research Project': 50.0, 'Two Reflective Blogs': 50.0}",50.0,other,Research Project,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and have completed five 1000 or 6100 level LAWS courses; or 
 Master of International Law and Diplomacy (MINLD) and have completed or be completing LAWS8586 Law and Legal Institutions. 
 You are not able to enrol in this course if you have previously completed LAWS6230 Law Internship; or ANIP6003 Australian National Internships Program Internship A unless it is credited to a non-law degree; or ANIP6005 Australian National Internships Program B unless it is credited to a non-law degree. 
 Students can only complete one Law Internship during their degree. Students must apply to undertake this course. Please go to Law Internships page for application information.",https://programsandcourses.anu.edu.au/course/LAWS8430/Second%20Semester/8731,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8430_Time_Series_LRN.pdf
LAWS6230,"College of Law, Governance and Policy",Law School,Law,Jul 2025,"['other', 'other', 'essay/report']","{'Draft Research Project Outline': 0.0, 'Research Project': 80.0, 'Reflective Essay': 20.0}",80.0,other,Research Project,"To enrol in this course you must be studying a: 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS4230 Law Internship; or ANIP6503 Australian National Internships Program Internship A (Graduate) unless it is credited to a non-law degree; or ANIP6505 Australian National Internships Program B unless it is credited to a non-law degree. 
 Students can only complete one Law Internship during their degree. Students must apply to undertake this course. Please go to Law Internships page for application information.",https://programsandcourses.anu.edu.au/course/LAWS6230/Second%20Semester/8738,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS6230_Time_Series_LRN.pdf
LAWS4230,"College of Law, Governance and Policy",Law School,Law,Jul 2025,"['other', 'other', 'essay/report']","{'Draft Research Project Outline': 0.0, 'Research Project': 80.0, 'Reflective Essay': 20.0}",80.0,other,Research Project,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS4430 Law Internship; or ANIP3003 Australian National Internships Program Internship A unless it is credited to a non-law degree; or ANIP3005 Australian National Internships Program B unless it is credited to a non-law degree. 
 Students can only complete one Law Internship during their degree. Students must apply to undertake this course. Please go to Law Internships page for application information.",https://programsandcourses.anu.edu.au/course/LAWS4230/Second%20Semester/8736,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4230_Time_Series_LRN.pdf
LAWS6011,"College of Law, Governance and Policy",Law School,Law,Jul 2025,['participation'],{'Summit Participation': 100.0},100.0,participation,Summit Participation,"To enrol in this course you must be studying a: 
 Juris Doctor (MJD) and have completed five 1000 or 6100 level LAWS courses. 
 You will need to contact the ANU Law School to request a permission code to enrol in this course.",https://programsandcourses.anu.edu.au/course/LAWS6011/Summer%20Session/1431,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS6011_Time_Series_LRN.pdf
LAWS4011,"College of Law, Governance and Policy",Law School,Law,Jul 2025,['participation'],{'Competition Participation': 100.0},100.0,participation,Competition Participation,To enrol in this course you must be studying a Bachelor of Laws (ALLB) and have completed five 1000 level LAWS courses.,https://programsandcourses.anu.edu.au/course/LAWS4011/Winter%20Session/6597,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4011_Time_Series_LRN.pdf
LAWS4700,"College of Law, Governance and Policy",Law School,Law,Jul 2025,"['other', 'essay/report', 'oral/presentation', 'other', 'reflection']","{'Project Outline': 0.0, 'Project Progress Report': 0.0, 'Project Oral Presentation': 10.0, 'Main Project Output': 70.0, 'Reflection': 20.0}",70.0,other,Main Project Output,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed 1000 level LAWS courses, LAWS2248 Legal Research and Writing and have completed 96 LAWS coded units towards the program.",https://programsandcourses.anu.edu.au/course/LAWS4700/First%20Semester/3745,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4700_Time_Series_LRN.pdf
LAWS4231,"College of Law, Governance and Policy",Law School,"Art History, Law",Jul 2025,"['essay/report', 'other', 'essay/report', 'participation']","{'Short Response Essay': 20.0, 'Group Project Assignment': 15.0, 'Final Research Essay': 55.0, 'Class Participation': 10.0}",55.0,essay/report,Final Research Essay,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS2290 Law and Art: Representation and Critique",https://programsandcourses.anu.edu.au/course/LAWS4231/Second%20Semester/9199,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4231_Time_Series_LRN.pdf
LAWS4301,"College of Law, Governance and Policy",Law School,Law,,"['participation', 'other', 'other', 'participation', 'essay/report']","{'Attendance and Participation in Scheduled Activities': 0.0, 'Completion of Preparation Assignments': 0.0, 'Debrief & Reflective Journal': 25.0, 'Participation': 25.0, 'Research Essay': 50.0}",50.0,essay/report,Research Essay,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed five 1000 level LAWS courses and have completed LAWS2250 International Law. 
 You are not able to apply for this clinic if you have previously completed a LAWS coded clinical course. Students can only complete one clinical course during their degree.",https://programsandcourses.anu.edu.au/course/LAWS4301/Summer%20Session/1414,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4301_Time_Series_LRN.pdf
LAWS6301,"College of Law, Governance and Policy",Law School,Law,,"['participation', 'other', 'other', 'participation', 'essay/report']","{'Attendance and Participation in Scheduled Activities': 0.0, 'Completion of Preparation Assignments': 0.0, 'Debrief & Reflective Journal': 25.0, 'Participation': 25.0, 'Research Essay': 50.0}",50.0,essay/report,Research Essay,"To enrol in this course you must be studying a: 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to apply for this clinic if you have previously completed a LAWS coded clinical course. Students can only complete one clinical course during their degree.",https://programsandcourses.anu.edu.au/course/LAWS6301/Summer%20Session/1415,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS6301_Time_Series_LRN.pdf
LAWS4315,"College of Law, Governance and Policy",Law School,"Development Studies, Law, Pacific Studies",Jul 2025,"['other', 'other', 'essay/report']","{'Group work: chairing discussion with guest speaker': 10.0, 'Discussion forum post': 40.0, 'Reflective Research Essay': 50.0}",50.0,essay/report,Reflective Research Essay,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed or be completing five LAWS 1000 level courses; or 
 Juris Doctor (MJD) and have completed or be completing five LAWS 1000 or 6100 level courses. 
 You are not able to enrol in this course if you have previously completed LAWS8006 Law and Development in the Contemporary South Pacific.",https://programsandcourses.anu.edu.au/course/LAWS4315/Winter%20Session/6468,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4315_Time_Series_LRN.pdf
LAWS8006,"College of Law, Governance and Policy",Law School,"Development Studies, Law, Pacific Studies",,"['participation', 'other', 'essay/report']","{'Forum Participation: Reading memo posted on the forum': 30.0, 'Reflective Reading Journal': 30.0, 'Research Paper': 40.0}",40.0,essay/report,Research Paper,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses; or 
 Master of International Law & Diplomacy (MINLD) and have completed or be completing LAWS8586 Law and Legal Institutions. 
 This course is incompatible with LAWS4315 Law and Development in the Contemporary South Pacific 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for permission code.",https://programsandcourses.anu.edu.au/course/LAWS8006/Summer%20Session/1427,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8006_Time_Series_LRN.pdf
LAWS8228,"College of Law, Governance and Policy",Law School,"Law, Economics",,"['participation', 'other', 'essay/report']","{'Forum Participation: Reading memo posted on the forum': 30.0, 'Reflective Reading Journal': 30.0, 'Research Paper': 40.0}",,,,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses; or 
 Master of International Law and Diplomacy (MINLD)and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Master of Financial Management and Law (MFIML) and have completed or be completing LAWS8586 Law and Legal Institutions. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for permission number.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8228_Time_Series_LRN.pdf
LAWS8586,"College of Law, Governance and Policy",,Law,Jul 2025,"['test/quiz/midsem', 'other', 'other', 'other']","{'Optional Quiz': 0.0, 'Discussion Forum Posts and Responses': 20.0, 'Research and Referencing Task': 20.0, 'Problem Question / Case Note': 60.0}",60.0,other,Problem Question / Case Note,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM);  or 
 Graduate Certificate of Law (CLAW); or 
 Master of Financial Management and Law (MFIML); or 
 Master of International Law and Diplomacy (MINLD). 
 Students who have completed an Australian undergraduate law degree or Juris Doctor (MJD) are not permitted to enrol into this course. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for appropriate permission.",https://programsandcourses.anu.edu.au/course/LAWS8586/Winter%20Session/6467,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8586_Time_Series_LRN.pdf
LAWS4279,"College of Law, Governance and Policy",Law School,Law,,"['test/quiz/midsem', 'other', 'other', 'other']","{'Optional Quiz': 0.0, 'Discussion Forum Posts and Responses': 20.0, 'Research and Referencing Task': 20.0, 'Problem Question / Case Note': 60.0}",,,,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS8239 The European Union.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4279_Time_Series_LRN.pdf
LAWS4260,"College of Law, Governance and Policy",Law School,"Law, Psychology",Jun 2025,"['essay/report', 'essay/report', 'participation']","{""Three reaction papers based on a week's readings and content"": 45.0, 'Research Essay': 55.0, 'Attendance': 0.0}",55.0,essay/report,Research Essay,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS8460 Law and Psychology.",https://programsandcourses.anu.edu.au/course/LAWS4260/Winter%20Session/6465,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4260_Time_Series_LRN.pdf
LAWS8589,"College of Law, Governance and Policy",Law School,Human Sciences,,"['participation', 'other']","{'Workshop engagement and critical reflection': 40.0, 'Research project': 60.0}",60.0,other,Research project,"To enrol in this course you must be studying a: 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions;  or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD), have completed or be completing five 1000 or 6100 level LAWS courses. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for permission code.",https://programsandcourses.anu.edu.au/course/LAWS8589/Summer%20Session/1424,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8589_Time_Series_LRN.pdf
LAWS4321,"College of Law, Governance and Policy",Law School,"Law, Social Research",,"['participation', 'other']","{'Workshop engagement and critical reflection': 40.0, 'Research project': 60.0}",,,,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4321_Time_Series_LRN.pdf
LAWS8594,"College of Law, Governance and Policy",Law School,Law,,"['essay/report', 'participation', 'other', 'essay/report']","{'Mock Essay Exercise (Optional)': 0.0, 'Class Participation': 10.0, 'Debate': 20.0, 'Research Essay': 70.0}",70.0,essay/report,Research Essay,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses; or 
 Master of International Law and Diplomacy (MINLD) and have completed or be completing LAWS8586 Law and Legal Institutions. 
 You are not able to enrol in this course if you have previously completed LAWS4229 Law and Society in South East Asia. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for appropriate permission.",https://programsandcourses.anu.edu.au/2023/course/LAWS8594/First%20Semester/4127,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8594_Time_Series_LRN.pdf
LAWS4229,"College of Law, Governance and Policy",Law School,Law,Jul 2025,"['participation', 'test/quiz/midsem', 'essay/report']","{'Class Participation': 10.0, 'Mid-Semester Research Essay': 20.0, 'Final Research Essay': 70.0}",70.0,essay/report,Final Research Essay,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS8594 Law and Society in South East Asia.",https://programsandcourses.anu.edu.au/course/LAWS4229/Second%20Semester/8753,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4229_Time_Series_LRN.pdf
LAWS8480,"College of Law, Governance and Policy",Law School,Law,,"['participation', 'other', 'essay/report']","{'Class Participation': 10.0, 'Research Proposal': 20.0, 'Research Paper': 70.0}",70.0,essay/report,Research Paper,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses 
 You are not able to enrol in this course if you have previously completed LAWS4280 Law and the Humanities. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for appropriate permission.",https://programsandcourses.anu.edu.au/2024/course/LAWS8480/Second%20Semester/8820,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8480_Time_Series_LRN.pdf
LAWS4280,"College of Law, Governance and Policy",Law School,"Law, Philosophy",,"['participation', 'other', 'essay/report']","{'Class Participation': 10.0, 'Research Proposal': 20.0, 'Research Paper': 70.0}",70.0,essay/report,Research Paper,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS8480 Law and the Humanities.",https://programsandcourses.anu.edu.au/2024/course/LAWS4280/Second%20Semester/8819,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4280_Time_Series_LRN.pdf
BUSN2101,College of Business and Economics,Research School of Accounting,Accounting,Feb 2026,"['essay/report', 'essay/report', 'exam']","{'News Report': 15.0, 'Problem Paper': 25.0, 'Final examination': 60.0}",60.0,exam,Final examination,To enrol in this course you must have completed BUSN1101. This course is incompatible with LAWS2203.,https://programsandcourses.anu.edu.au/course/BUSN2101/First%20Semester/2143,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN2101_Time_Series_LRN.pdf
LAWS8253,"College of Law, Governance and Policy",Law School,Law,,"['test/quiz/midsem', 'essay/report']","{'Test': 30.0, 'Essay': 70.0}",70.0,essay/report,Essay,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses; or 
 Master of International Law & Diplomacy (MINLD) and have completed or be completing LAWS8586 Law and Legal Institutions. 
 You are not able to enrol in this course if you have previously completed LAWS4224 International Law of the Sea. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for permission code.",https://programsandcourses.anu.edu.au/course/LAWS8253/Summer%20Session/1479,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8253_Time_Series_LRN.pdf
LAWS4299,"College of Law, Governance and Policy",Law School,Law,,"['other', 'other', 'other', 'participation']","{'Theory and Method Critique': 30.0, 'Film/Podcast Foundation': 45.0, 'Film/Podcast': 25.0, 'Attendance': 0.0}",45.0,other,Film/Podcast Foundation,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses.",https://programsandcourses.anu.edu.au/course/LAWS4299/Winter%20Session/6462,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4299_Time_Series_LRN.pdf
LAWS8256,"College of Law, Governance and Policy",Law School,"Development Studies, Human Sciences",Jul 2025,"['other', 'other', 'other', 'participation']","{'Theory and Method Critique': 30.0, 'Film/Podcast Foundation': 45.0, 'Film/Podcast': 25.0, 'Attendance': 0.0}",,,,"To enrol in this course you must be studying a: 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS4256 Law, Gender Identities and Sexualities. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for appropriate permission.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8256_Time_Series_LRN.pdf
LAWS4256,"College of Law, Governance and Policy",Law School,"Gender Studies, Law",Jul 2025,"['essay/report', 'essay/report', 'participation']","{'Reflective Class Paper': 25.0, 'Research Essay': 75.0, 'Class Participation': 0.0}",75.0,essay/report,Research Essay,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and completed or be completing five 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS8256 Law, Gender Identities and Sexualities",https://programsandcourses.anu.edu.au/2023/course/LAWS4256/Winter%20Session/4583,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4256_Time_Series_LRN.pdf
LAWS4341,"College of Law, Governance and Policy",Law School,Law,,"['essay/report', 'essay/report', 'participation']","{'Reflective Class Paper': 25.0, 'Research Essay': 75.0, 'Class Participation': 0.0}",,,,"To enrol in this course you must be studying a: 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses and have completed LAWS1204 Contracts, LAWS1205 Australian Public Law, LAWS2201 Administrative Llaw, LAWS2204 Property, LAWS2250 International Law; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses and have completed LAWS1204/6104 Contracts, LAWS1205/6105 Australian Public Law, LAWS2201/6201 Administrative Law, LAWS2204/6204 Property, LAWS2250/6250 International Law;",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4341_Time_Series_LRN.pdf
LAWS4350,"College of Law, Governance and Policy",Law School,Law,,"['essay/report', 'essay/report', 'participation']","{'Reflective Class Paper': 25.0, 'Research Essay': 75.0, 'Class Participation': 0.0}",,,,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4350_Time_Series_LRN.pdf
